Sample,Group
AKI_8_24_01_110722,Group1
AKI_8_24_03_110722,Group1
AKI_8_24_07_110722,Group1
AKI_8_24_09_110722,Group1
AKI_8_24_10_110722,Group1
AKI_8_24_11_110722,Group1
AKI_8_24_12_110722,Group1
AKI_8_24_13_110722,Group1
AKI_8_24_14_110722,Group1
AKI_8_24_16_110722,Group1
AKI_8_24_19_110722,Group1
AKI_8_24_20_110722,Group1
AKI_8_24_21_110722,Group1
AKI_8_24_22_110722,Group1
AKI_8_24_23_110722,Group1
AKI_8_24_24_110722,Group1
AKI_8_24_26_110722,Group1
AKI_8_24_27_110722,Group1
AKI_8_24_30_110722,Group1
AKI_8_24_31_110722,Group1
AKI_8_24_32_110722,Group1
AKI_8_24_33_110722,Group1
AKI_8_24_34_110722,Group1
AKI_8_24_37_110729,Group1
AKI_8_24_39_110729,Group1
AKI_8_24_40_110729,Group1
AKI_8_24_41_110729,Group1
AKI_8_24_42_110729,Group1
AKI_8_24_43_110729,Group1
AKI_8_24_44_110729,Group1
AKI_8_24_50_110729_2,Group1
AKI_8_24_51_110729,Group1
AKI_8_24_52_110729,Group1
AKI_8_24_53_110729,Group1
AKI_8_24_55_110729,Group1
AKI_8_24_109_110812,Group3
AKI_8_24_110_110812,Group3
AKI_8_24_02_110722,Group3
AKI_8_24_04_110722,Group3
AKI_8_24_05_110722,Group3
AKI_8_24_06_110722,Group3
AKI_8_24_08_110722,Group3
AKI_8_24_15_110722,Group3
AKI_8_24_17_110722,Group3
AKI_8_24_18_110722,Group3
AKI_8_24_28_110722,Group3
AKI_8_24_29_110722,Group3
AKI_8_24_35_110722,Group3
AKI_8_24_36_110722,Group3
AKI_8_24_38_110729,Group3
AKI_8_24_45_110729,Group3
AKI_8_24_46_110729,Group3
AKI_8_24_48_110729,Group3
AKI_8_24_49_110729,Group3
AKI_8_24_62_110729,Group3
AKI_8_24_65_110729,Group3
AKI_8_24_70_110729,Group3
AKI_8_24_71_110729,Group3
AKI_8_24_74_110812,Group3
AKI_8_24_75_110812,Group3
AKI_8_24_76_110812,Group3
AKI_8_24_80_110812,Group3
AKI_8_24_82_110812,Group3
AKI_8_24_89_110812,Group3
AKI_8_24_90_110812,Group3
AKI_8_24_92_110812,Group3
AKI_8_24_94_110812_2,Group3
AKI_8_24_98_110812,Group3
AKI_8_24_99_110812,Group3
AKI_8_24_103_110812,Group3
AKI_8_24_106_110812,Group3
